Archaean - Early Mesoproterozoic polygons,Late Mesoproterozoic polygons,Middle Mesoproterozoic polygons,Neoproterozoic - Ordovician polygons
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Possible volcanic rocks; intercalated with Kanmantoo Group metasediments
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Undifferentiated Neoproterozoic rocks
"Quiet magnetic zone, low gravity signature, some intrabasement magnetic sources:  Late Kararan/Musgravian granitoid-dominated?",Null,Null,"Fluvial to shallow marine sandstone, minor shale; tidal to sabkha siltstone, shale, sandstone with anhydrite"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic",Null,Null
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,Undifferentiated Neoproterozoic rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Schist and granitic gneiss, granite (including Yoolperlunna and Ammaroodinna Inliers)",Null,Null,Undifferentiated Neoproterozoic rocks
Undifferentiated granitoid intrusive rocks of Kimban Orogeny,Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Comagmatic felsic and mafic granitoid rocks,Null,Null,Null
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Mafic lower Gawler Range Volcanics,Null,"Redbed sandstone, minor siltstone","Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Quiet magnetic zone, low gravity signature, some intrabasement magnetic sources:  Late Kararan/Musgravian granitoid-dominated?",Null,Null,"Dominantly marine shale, siltstone, sandstone and limestone"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Layered gneiss and granulite, mainly metasedimentary; variably magnetic",Null,Null
Comagmatic felsic and mafic granitoid rocks,Null,Null,Null
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Proterozoic rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
"Dacite to rhyolite, andesite, basalt",Null,"Redbed sandstone, minor siltstone","Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
"Quiet magnetic zone, low gravity signature, some intrabasement magnetic sources:  Late Kararan/Musgravian granitoid-dominated?",Null,Null,"Fluvial to shallow marine sandstone, minor shale; tidal to sabkha siltstone, shale, sandstone with anhydrite"
Dacite and rhyodacite,Null,"Redbed sandstone, minor siltstone","Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Layered gneiss and granulite, mainly metasedimentary; variably magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
"Quiet magnetic zone, low gravity signature, some intrabasement magnetic sources:  Late Kararan/Musgravian granitoid-dominated?",Null,Null,"Fluvial to shallow marine sandstone, minor shale; tidal to sabkha siltstone, shale, sandstone with anhydrite"
"Unknown basement, poor geophysical response","Elliptical non-magnetic to weakly magnetic intrusive bodies, some with magnetic rims and N-trending folded linear magnetic bodies",Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Vuggy dolomite; shelf limestone, dolomite, siltstone, shale and sandstone; glauconitic sandstone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Strongly sheared, altered or granite-intruded gneiss or granulite adjacent to major shear zones; non-magnetic to weakly magnetic",Null,Null
Undifferentiated granitoid intrusive rocks of Kimban Orogeny,Null,Null,Null
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Diapiric carbonate-cemented breccia
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
"Unknown basement, poor geophysical response","Elliptical non-magnetic to weakly magnetic intrusive bodies, some with magnetic rims and N-trending folded linear magnetic bodies",Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Shallow marine to terrestrial redbeds, peritidal to marine limestone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
"Schistose, albitic and calcsilicate metasediments",Null,Null,Evaporitic clastics and carbonate rocks; fluvial sandstone and conglomerate
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Layered gneiss and granulite, mainly metasedimentary; variably magnetic",Null,Null
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,Dolerite dykes
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Null
"Quiet magnetic zone, low gravity signature, some intrabasement magnetic sources:  Late Kararan/Musgravian granitoid-dominated?",Null,Null,"Fluvial to shallow marine sandstone, minor shale; tidal to sabkha siltstone, shale, sandstone with anhydrite"
Granulite-grade iron-rich aluminous metasediments; precursor of unknown age,Null,Null,"Dominantly marine shale, siltstone, sandstone and limestone"
Porphyritic granite; granite and adamellite,Null,Null,Null
Undifferentiated metasediments and  felsic and basic metavolcanic rocks,Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
"Paragneiss, calcsilicate and orthogneiss",Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine shelf to basinal carbonate, minor basal sandstone and tuff"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
"Schist and granitic gneiss, granite (including Yoolperlunna and Ammaroodinna Inliers)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
"Mylonitic pegmatite, age unknown",Null,Null,Null
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,Undifferentiated Neoproterozoic rocks
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Layered gneiss and granulite, mainly metasedimentary; variably magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
Felsic volcanics of Benagerie Ridge; feldspathic sandstone and mafic volcanics in Bumbarlow 1 may be equivalent,Null,Null,"Shallow marine to terrestrial redbeds, peritidal to marine limestone"
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,"Dominantly marine shale, siltstone, sandstone and limestone"
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Chemical and clastic metasediments,Null,Null,"Marine shelf to basinal carbonate, minor basal sandstone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
"Schist and granitic gneiss, granite (including Yoolperlunna and Ammaroodinna Inliers)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Undifferentiated Neoproterozoic rocks
"Paragneiss, calcsilicate and orthogneiss",Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons, massive to internally zoned, including intrusive charnockite; strongly magnetic",Null,Null
"Unknown basement, poor geophysical response",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,Null
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,"Aeolian, fluvial and evaporitic to tidal sandstone to mudstone; marine limestone and dolomite"
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Strongly sheared, altered or granite-intruded gneiss or granulite adjacent to major shear zones; non-magnetic to weakly magnetic",Null,Null
S-type granite,Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
"Dacite to rhyolite, andesite, basalt",Null,"Redbed sandstone, minor siltstone",Null
"Granite to diorite, dolerite, amphibolite; leucogranite and leucoporphyry",Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
"Quartzitic and pelitic paragneiss, basalt and rhyolite; metavolcanic gneiss at Spring Hill",Null,Null,"Aeolian, fluvial and evaporitic to tidal sandstone to mudstone; marine limestone and dolomite"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
"Schist and granitic gneiss, granite (including Yoolperlunna and Ammaroodinna Inliers)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Neoproterozoic to Cambrian metasediments, Neoproterozoic-Ordovician volcanics and mafic intrusives"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,Undifferentiated Neoproterozoic rocks
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Geophysically-delineated extensions of Musgrave Province under cover, based on interpretation by Geointerp",Null,Undifferentiated Neoproterozoic rocks
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,"Redbed sandstone, minor siltstone","Marine shelf to basinal carbonate, minor basal sandstone and tuff"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
"Psammopelite and pelite, locally graphitic",Null,Null,"Shallow marine to terrestrial redbeds, peritidal to marine limestone"
"Dacite to rhyolite, andesite, basalt",Null,"Redbed sandstone, minor siltstone","Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
"Undifferentiated Precambrian granite, granite gneiss and orthogneiss (including Middle Bore Ridge)",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Dacite and rhyodacite,Null,Null,Null
"Granite to diorite, dolerite, amphibolite; leucogranite and leucoporphyry",Null,Null,Null
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons, massive to internally zoned, including intrusive charnockite; strongly magnetic",Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Granulite-grade iron-rich aluminous metasediments; precursor of unknown age,Null,Null,"Dominantly marine shale, siltstone, sandstone and limestone"
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,Null
"Paragneiss, calcsilicate and orthogneiss",Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive to weakly layered mafic to ultramafic rocks, commonly basal to layered sills; non-magnetic to weakly magnetic",Null,Null
"Unknown basement, poor geophysical response",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Dacite to rhyolite, andesite, basalt",Null,"Redbed sandstone, minor siltstone","Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
"Unknown basement, poor geophysical response",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,"Redbed sandstone, minor siltstone","Marine shelf to basinal carbonate, minor basal sandstone and tuff"
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Strongly sheared, altered or granite-intruded gneiss or granulite adjacent to major shear zones; non-magnetic to weakly magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Slope to basinal shale, siltstone, lime mudstone; minor sandstone and pebbly sandstone at top"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Mylonitic pegmatite, age unknown",Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Undifferentiated metasediments (including Nawa and Mabel Creek Ridges),Null,Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Undifferentiated metasediments and  felsic and basic metavolcanic rocks,Null,Null,"Marine shelf to basinal carbonate, minor basal sandstone and tuff"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic",Null,Null
Inferred Palaeo-Mesoproterozoic NNE-trending mobile belt,Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
"Geophysically-delineated extensions of Gawler Craton under cover, based on new interpretation",Null,Null,"Mostly non-marine sandstone, siltstone and claystone; minor dolomite, limestone, chert and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Marine siltstone and sandstone; oolitic, sandy and stromatolitic limestone; overlain and underlain by glaciomarine successions of diamictite, sandstone and siltstone with local aeolian sands"
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
"Schistose, albitic and calcsilicate metasediments",Null,Null,Null
"Sandstone, conglomerate, siltstone, breccia; includes tuff",Null,Null,Null
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
"Psammopelite and pelite, locally graphitic",Null,Null,"Shallow marine to terrestrial redbeds, peritidal to marine limestone"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Undifferentiated Neoproterozoic rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Syn-Delamerian mafic intrusive rocks
Undifferentiated metasediments and  felsic and basic metavolcanic rocks,Null,Null,"Dominantly marine shale, siltstone, sandstone (metazoan fossils) and limestone; deltaic sandstone"
Undifferentiated metasediments and  felsic and basic metavolcanic rocks,Null,Null,Null
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Granulite-grade iron-rich aluminous metasediments; precursor of unknown age,Null,Null,"Dominantly marine shale, siltstone, sandstone and limestone"
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
"Coober Pedy Ridge: granulite-grade paragneiss, often iron-rich, felsic granulite; precursor of unknown age",Null,Null,"Aeolian, fluvial and evaporitic to tidal sandstone to mudstone; marine limestone and dolomite"
